Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Amount_USD
QNu,Cyber Security,Bengaluru,Rs 60 Cr,Series A,NQM,720000000.0
Vividobots,Robotics,Chennai,Rs 1.47 Cr,Seed Round,Inflection Point Ventures,17640000.0
HexaHealth,Healthtech,Gurugram,$12 Million,Series A,Orios Venture Partners and 3one4 Capital,12000000.0
SatLeo Labs,Space Tech,Ahmedabad,$3.3 Mn,Pre-seed Round,Merak Ventures,3300000.0
Sadhav Offshore,Maritime Service,Mumbai,Rs 25 Cr,Equity Round,Negen Capital,300000000.0
Anveshan,D2C Food,Gurugram,Rs 48 Cr,Series A,Wipro Consumer Care,576000000.0
Salt Oral Care,Pre-Series A,Mumbai,$1 Mn,Pre-Series A,Lotus Holdings,1000000.0
Ivana Jewels,Lab-grown Diamonds,Surat,Rs 2 Cr,Seed Round,Avinya Ventures,24000000.0
Fuze,Digital Assets Infrastructure,Abu Dhabi,$12.2 Mn,Series A,Galaxy and e& Capital,12200000.0
Kaleidofin,Fintech,Chennai,$5.3 Mn,Funding Round,IDH Farmfit Fund,5300000.0
Kaleidofin,Fintech,Chennai,$5.3 Mn,Funding Round,IDH Farmfit Fund,5300000.0
Finodaya Capital,Non-banking financial company,Indore,$2.5 million,Seed Funding,White Venture Capital,2500000.0
Ivory,Healthcare,New Delhi,$1 million,Funding Round,"IIM-A Ventures, Capital-A",1000000.0
MatBook,Construction Tech,Gurugram,$750K,Pre-Seed Round,"Seedstars International Ventures, Fluent Ventures and Everywhere Ventures",750000.0
Rebel Foods,Cloud Kitchen,Mumbai,$25 million,Series G,Qatar Investment Authority,25000000.0
DevAssure,SaaS,Chennai,Undisclosed,Pre‑Seed Funding,Eximius Ventures,
Poshs Metal,Steel Processing,Pune,Rs 43 crore,Funding Round,Aavishkaar Capital,516000000.0
MyDesignation,D2C Fashion,Thiruvananthapuram,$1.25 million,Seed Funding,Multiply Ventures,1250000.0
Emversity,Edtech,Bengaluru,$5 million,Pre-Series A Round,Z47 and Lightspeed,5000000.0
Vayudh,Drone Startup,New Delhi,$10 million,Funding Round,Dharana Capital,10000000.0
BankBazaar,Loan Sourcing,Chennai,Rs 55 crore,Funding Round,"Muthoot Fincorp, Walden International",660000000.0
SaveIN,Fintech,New Delhi,Rs 37 crore,Funding Round,"10X Founders, Oliver Jung, Leblon Capital, Stem AI",444000000.0
Intellicar,Fabric,Bengaluru,$13.5 million,Series A,Nuveen,13500000.0
GreenGrahi,Agri-biotech,New Delhi,Rs 32 crore,Funding Round,Avaana Capital,384000000.0
Rimigo,Travel Tech,Bengaluru,$550K,Pre-Seed Round,Reazon Capital,550000.0
Rimigo,Travel Tech,Bengaluru,$550K,Pre-Seed Round,Reazon Capital,550000.0
Optimized Electrotech,Deeptech,Ahmedabad,$6 million,Series A,Blume Ventures and Mela Ventures,6000000.0
V SAFE,IoT,Thanjavur,$300K,Seed Funding,Priya Parthasarathy,300000.0
SportsSkill,Sports Technology,Pune,Undisclosed,Pre-Seed Funding,Waimea Bay Investments,
Jupiter International,Solar solutions,Kolkata,Rs 500 Cr,-,ValueQuest SCALE Fund,6000000000.0
Cura Care,Oral Care,Bengaluru,Rs 5 Cr,Pre-Seed,Zeropearl VC,60000000.0
Noto,Ice Cream Brand,Mumbai,Rs 21 Cr,Angel Fund,Equentis,252000000.0
BeastLife,Nutrition Brand,Gurugram,Rs 1.9 crore,-,Rinku Singh,22800000.0
CENTA,Education,Bengaluru,Rs 20 Cr,Series A1,Colossa Ventures,240000000.0
Jewelbox,D2C lab-grown diamond jewellery,Kolkata,$3.2Mn,pre-Series A,V3 Ventures,3200000.0
Rio Innobev,Beverage Startup,Pune,Rs 10 Cr,Pre-Series A,Atomic Capital,120000000.0
OfBusiness,B2B commerce,Gurugram,Rs 100 Cr,-,Cornerstone Ventures,1200000000.0
Nothing Before Coffee,QSR coffee chain,Jaipur,$2.3 Mn,Pre-Series A,Prath Ventures,2300000.0
Peppermint Robotics,Robotics,Pune,$4 Mn,Series A,Indian Angel Network,4000000.0
Garuda Aerospace,Aerospace,Chennai,Rs 100 Cr,Series B,Venture Catalysts,1200000000.0
Magma,B2B manufacturing,Ahmedabad,$5Mn,Series A,Capria Ventures,5000000.0
IPEC,EV charging,Mumbai,$3 Mn,-,Gruhas,3000000.0
JetSynthesys,Digital entertainment and technology,Pune,Undisclosed,-,Krafton,
JetSynthesys,Digital entertainment and technology,Pune,Undisclosed,-,Krafton,
Easebuzz,B2B Fintech,Pune,$30 Mn,Funding Round,Bessemer,30000000.0
Asha Ventures,Venture Capitalist,Mumbai,$10 million,Funding Round,British International Investment (BII),10000000.0
Vimano,Nanotech,Bengaluru,Rs 25 Cr,Seed Round,Ankur Capital,300000000.0
Innovist,Beauty Products,Gurugram,Rs 136 Cr,Series B,ICICI Venture,1632000000.0
CalligoTech,AI,Bengaluru,$1.1 Mn,Pre-Series A,Seafund and Artha Venture Fund,1100000.0
Juspay,Fintech,Bengaluru,$60 Mn,Series D,Kedaara Capital,60000000.0
Sadbhav Future Tech,Agri-Renewable,Gurugram,Rs 36 Cr,Pre-IPO Round,Chanakya Opportunities Fund,432000000.0
SiglQ.ai,Edtech,-,$9.5 Mn,Seed Round,The House Fund and GSV Ventures,9500000.0
OUTZIDR,D2C Apparel,Bengaluru,Rs 30 Cr,Seed Round,Stellaris Venture Partners,360000000.0
DaveAI,AI,Bengaluru,Undisclosed,Pre-Series A,Inflection Point Ventures,
Cautio,Visual Telematics,Bengaluru,Rs 11 Cr,Seed Round,"9Unicorns, Venture Catalysts, Antler India, Infinyte Club, Ministry of Electronics and IT (MeitY)",132000000.0
AgroStar,Agritech,Pune,$6.7 Mn,Funding Round,Accel India,6700000.0
Eat Better,D2C Snacking,Jaipur,Rs 17 Cr,Pre-Series A,Prath Ventures and Spring Marketing Capital,204000000.0
Amicco,B2B marketplace,Gurugram,$1 Mn,Seed Funding,Eximius,1000000.0
Let's Try,D2C Snack Brand,Delhi,$2.5 Mn,Funding Round,SWC Global,2500000.0
PARÉ Innovations,building material segment,Mumbai,$8.5Mn,Funding Round,Advenza Global Limited,8500000.0
Bhagva,Digital Spirituality,Delhi,$1 Mn,Pre-Series A,Pradeep Nain,1000000.0
Noise,Wearables,Gurugram,$20 Mn,Funding Round,Bose Corporation,20000000.0
Xindus,Cross-border Logistics,Gurugram,$10 Mn,Pre-Series A,3one4 Capital and Orios Venture Partners,10000000.0
Eloelo,Live Social Entertainment,Bengaluru,$13.5 Mn,Series B,Play Ventures,13500000.0
AskMyGuru,Spiritual-tech,Bengaluru,$1.2 Mn,Seed Round,Lumikai,1200000.0
Bower,Edtech,Hyderabad,Rs 11.5 Crore,Seed Funding,High-Net-Worth Individuals (HNIs) and Astir Ventures,138000000.0
Mosaic Wellness,Health and wellness,Mumbai,$20 Mn,-,Think Investment,20000000.0
GreenLine Mobility Solutions Ltd.,Green Logistics,Surat,$20Mn,-,Nikhil Kamath,20000000.0
GreenLine Mobility Solutions Ltd.,Green Logistics,Surat,$20Mn,-,Nikhil Kamath,20000000.0
Koparo,D2C,New Delhi,$1.7 million,Pre-Series A,Saama Capital,1700000.0
Lehlah,Influencer Commerce,Mumbai,INR 12.5 crore,Seed Funding,Gruhas,
Spinny,Used-car sales,Gurugram,$131 million,Funding Round,Accel Leaders Fund,131000000.0
Tvaster Genkalp,Healthtech,Chennai,$1.25 million,Pre-Series A,Ideaspring Capital,1250000.0
Evenflow,Multi-brand,Mumbai,$5 million,Series A,"Venture Catalysts, Sunder Ramachandran",5000000.0
Wendor,Smart Vending,Delhi,$2.5 million,Seed Funding,Elanpro,2500000.0
Stance Health,Healthtech,Bengaluru,$1 million,Pre-Seed,General Catalyst,1000000.0
The Bear House,D2C Menswear,Bengaluru,INR 50 crore,Series A,JM Financial Private Equity,
DeCharge,EV Charging Solutions,Hyderabad,$2.5 million,Seed Funding,Lemniscap,2500000.0
YatriKart,Transit Retail,Indore,Undisclosed,Series A,MMG Group,
Argos Watches,Luxury watch brand,Surat,INR 6.5 crore,Angel Funding Round,Group of high-net-worth Indian investors,
Better Nutrition,Biofortified food brand,Lucknow,INR 10 crore,Seed Funding,Family offices and high-net-worth individuals (HNIs),
InnerGize,D2C mental health tech,Mumbai,INR 4.5 crore,Pre-Seed,Antler,
Infinity Fincorp,NBFC,Mumbai,$40 million,Series A,Beams Fintech Fund,40000000.0
Fur Jaden,Luggage and lifestyle brand,Mumbai,$1.1 million,Pre-Series A,Gruhas Collective Consumer Fund,1100000.0
Flipkart Internet,Marketplace,Bengaluru,"INR 3,249 crore",-,Flipkart Marketplace Private Limited in Singapore,
Pratilipi,Storytelling App,Bengaluru,$20 million,Series E Round,Jungle Ventures,20000000.0
RapidClaims,AI Revenue Cycle Management,Akola,$11 million ($8 million and $3 million),"Series A, Seed Round","Accel, Together Fund",11000000.0
FurtherAI,AI Assistants,US,$5 million,Funding Round,Nexus Venture Partners,5000000.0
Sweet Karam Coffee,Foods and Beverages,Chennai,$8 million,Series A,Peak XV Partners,8000000.0
Scapia,Travel fintech,Bengaluru,$40 million,Series B,Peak XV Partners,40000000.0
Perkant Tech,Healthtech,Vishakhapatnam,INR 6.6 crore,Seed Funding,YourNest Venture Capital,
DriverShaab,B2B mobility solutions provider,Patna,INR 2.8 crore,Pre-Series A,Inflection Point Ventures,
Tonbo Imaging,Defence tech,Bengaluru,INR 175 crore,Series D pre-IPO funding round,"Florintree Advisors, Tenacity Ventures and the Export-Import Bank of India",
Aerem Solutions Private Limited,Solartech,Mumbai,INR 100 crore,Funding Round,UTEC,
Alienkind,Juice Brand,Bengaluru,$1.2 million,Seed Funding,"Prakash Sikaria, Ravi Iyer, Arpan Sheth",1200000.0
Alienkind,Juice Brand,Bengaluru,$1.2 million,Seed Funding,"Prakash Sikaria, Ravi Iyer, Arpan Sheth",1200000.0
Nexthop AI,AI,US,$110 million,Funding Round,Lightspeed Venture Partners,110000000.0
Abound,Finance,US,$14 million,Seed Funding,NEAR Foundation,14000000.0
smallcase,Online investment platform,Bengaluru,$50 million,Series D,Elev8,50000000.0
Country Delight,Dairy products brand,Gurugram,$25 million,Equity Round,"Temasek, V-Sciences Investments",25000000.0
Apna Mart,FMCG Chain,Bengaluru,INR 214 crore,Equity and Funding Round,Accel and Fundamentum,
DCDC Kidney Care,Health Service,New Delhi,INR 150 crore,-,ABC Impact,
Curefoods,Cloud Kitchen,Bengaluru,$6.6 million,-,"BlackSoil, Binny Bansal and Caspian Investments",6600000.0
Curefoods,Cloud Kitchen,Bengaluru,$6.6 million,-,"BlackSoil, Binny Bansal and Caspian Investments",6600000.0
SHOEGR,Shoe care,Chandigarh,$100K,Pre-Seed Round,PedalStart,100000.0
Otipy,Agritech,Gurgaon,$2 million,Venture Debt,Nuvama,2000000.0
Slikk Club,Fashion Delivery,Bengaluru,$3.2 million,Seed Round,Lightspeed,3200000.0
Protectt.ai,Mobile App Security,Gurgaon,Rs 76 Cr ($8.7 million),Series A,Bessemer Venture Partners,912000000.0
Nivara Home Finance,Housing loan,Bengaluru,Rs 245 Cr,Series B,True North,2940000000.0
Pilgrim,D2C Beauty Brand,Bengaluru,Rs 200 Cr,Mix of Primary and Secondary Funding,NSFO,2400000000.0
Chai Kings,Chai Retail,Chennai,$3 million,Series A,A.V. Thomas and Co,3000000.0
Qila Games,Gaming,Bengaluru,$1 million,Pre-seed Funding,Chimera VC,1000000.0
Lighthouse PropTech,PropTech,Mumbai,$2.5 million,Funding Round,Turbostart,2500000.0
Iyaso,Speech Therapy,Pune,$500k,Pre-Seed Funding,Malpani Ventures,500000.0
My Pahadi Dukan,D2C Wellness,Jalandhar,Undisclosed,Pre-Seed Funding,Inflection Point Ventures,
Navadhan,Fintech,Mumbai,Rs 111 crore,Series A,NabVentures,1332000000.0
Asper.ai,AI-powered supply chain,Bengaluru,$20 million,-,Fractal,20000000.0
Everhope Oncology,Healthcare,Delhi and Mumbai,$10 million,Seed Funding,-,10000000.0
Harvested Robotics,AI,Hyderabad,Rs 5 crore,Seed Round,Arali Ventures,60000000.0
Broadway,D2C,Mumbai,-,Strategic Investment,Gruhas,
Nourish You,Plant-based Nutrition,Hyderabad,Rs 16 crore,Series A,Sidbi Venture Capital,192000000.0
iHub Robotics,Humanoid robotics,Ernakulam,Rs 4.3 crore,Pre-Seed Funding,U.S. investors,51600000.0
Hypergro.ai,AI,Bengaluru,Rs 7 crore,Pre-Series A,Eternal Capital,84000000.0
GoOAT,D2C nutrition,Gurugram,undisclosed,Pre-Seed Round,Sirona,
Go Zero,Ice Cream,Mumbai,Rs 30 crore,Series A,"DSG Consumer Partners, Saama Capital and V3 Ventures",360000000.0
Yummy Bee,Café chain,Hyderabad,Rs 18 crore,Funding,Mile Deep Capital,216000000.0
Yummy Bee,Café chain,Hyderabad,Rs 18 crore,Funding,Mile Deep Capital,216000000.0
Zolve,Cross-border NeoBank,Bengaluru,$251 million,Series B,"Creaegis, HSBC, SBI Investment, GMO Venture Partners",251000000.0
Scimplify,Chemicals Startup,Bengaluru,$40 million,Series B,"Accel, Bertelsmann India, UMI, Omnivore and 3one4 Capital",40000000.0
Purple Style Labs,Omnichannel Luxury Fashion,Mumbai,$40 million,Series E,"SageOne Flagship Growth OE Fund, Alchemy Long Term Ventures Fund, Bajaj Holdings and Investment, and Minerva Ventures Fund",40000000.0
AmpereHour Energy,Energy Storage,Pune,$5 million,Series A,Avaana Capital,5000000.0
goSTOPS,Backpacker Hostel,New Delhi,$4.2 million,Series A,Blume Ventures,4200000.0
goSTOPS,Backpacker Hostel,New Delhi,$4.2 million,Series A,Blume Ventures,4200000.0
indē wild,Ayurvedic Skincare,Mumbai,$5 million,Seed Round,"Unilever Ventures, SoGal Ventures, The Global Ventures",5000000.0
Zuppa,Drone Manufacturing,Chennai,-,Strategic Investment,Garuda Aerospace,
Swish,Food Delivery,Bengaluru,$14 Mn,Series A,"Hara Global Capital, Accel India",14000000.0
Gainhub.Ai,Unknown,Haryana,$100K,Pre-Series,Growth Strategy Ventures,100000.0
MapMyCrop,Agritech,Pune,Rs 15.7 Cr,Seed Funding,"YourNest Venture Capital, Eaglewings Venture",188400000.0
MaxIQ (formerly Gyaan AI),AI,Bengaluru,$7.8 million,Seed Funding,"Dell Technologies Capital, Intel Capital",7800000.0
Phot.AI,AI,Gurugram,$2.7Mn,Seed Funding,"Info Edge Ventures, Together Fund, AC Ventures",2700000.0
InsuranceDekho,Insurtech,Gurugram,$70Mn,Funding Round,"Beams Fintech Fund, Japan’s Mitsubishi UFJ Financial Group (MUFG), and insurer BNP Paribas Cardif",70000000.0
Beacon.li,AI,San Fracisco,$7 Mn,Series A,Sorin Investments,7000000.0
Darwinbox,HR technology,Mumbai,$140 Mn,Undisclosed Round,Partners Group and KKR,140000000.0
Nuuk,D2C home appliances,Gurugram,$5 Mn,Series A,"Vertex Ventures SEAI, Good Capital",5000000.0
Nuuk,D2C home appliances,Gurugram,$5 Mn,Series A,"Vertex Ventures SEAI, Good Capital",5000000.0
Geniemode,B2B Cross-Border E-commerce,Gurugram,$50 million,Series C,"Multiples Alternate Asset Management, Fundamentum, Paramark Ventures, Info Edge Ventures",50000000.0
Bridgetown Research,SaaS - Research Analytics,Bengaluru,$19 million,Funding Round,"Lightspeed, Accel",19000000.0
Oxyzo,Fintech - NBFC Lending,Gurugram,Rs 100 crore ($12M),Debt Funding,AK Capital Finance,1200000000.0
Quick Clean,Linen Management - SaaS,Gurugram,Rs 50 crore ($5.7M),Series A + Debt Funding,"Alkemi Growth Capital, Blue Ashva Capital, Rs 10 crore ($1.15M) credit line from Venture Debt Cos",600000000.0
Dr. Reddy’s Laboratories,Pharmaceutical Company,Hyderabad,Rs 30 crore,Strategic Investment,Acquired a 0.32% stake by Go Digit (Insurtech - Investments),360000000.0
FanTV,Content - Blockchain/Sui Network,Noida,$3 million,Strategic Investment,"Mysten Labs, Cypher Capital, CoinSwitch Ventures, Illuminati Capital",3000000.0
Vidyut,EV Full-Stack Platform,Bengaluru,$2.5 million,Funding Round,Flourish Ventures,2500000.0
HiWiPay,Fintech - Cross-border Payments,Mumbai,$2 million,Seed Round,"Unicorn India Ventures, Dewang Neralla's Family Office, Jupiter Metaverse LLP, Ritesh Malik, Mitesh Shah, Nilesh Doshi",2000000.0
Technodysis,IT - Cloud & DevOps Solutions,Bengaluru,Rs 10 crore,Debt Funding,Recur Club,120000000.0
Sisir Radar,Spacetech - SAR Satellite Imaging,Kolkata,$1.5 million,Seed Round,"Shastra VC, Riverwalk Holdings, INVSTT",1500000.0
Jobizo,HRTech - Healthcare Staffing Solutions,Gurugram,$1.4 million,Pre-Series Funding,Alkemi Growth Capital,1400000.0
Astrogate Labs,Spacetech - Satellite Communications,Bengaluru,$1.3 million,Pre-Series Funding,Piper Serica Angel Fund,1300000.0
Triple Tap Games,Gaming - Game Development,Mumbai,$1.2 million,Pre-Seed Round,"Eximius Ventures, Kalaari Capital, Angel Investors from Entertainment & Gaming Community",1200000.0
Dodo Payments,Fintech - Payments Infrastructure,Bengaluru,$1.1 million,Pre-Seed Round,"Antler, 9Unicorns, Venture Catalysts, Nitin Gupta, Maninder Gulati, Raymond Russell, Preethi Kasireddy, Nishant Verman",1100000.0
Ritualistic,Home Decor - D2C Brand,Gurugram,$1 million,Secondary + Primary Funding,"Deep Bajaj, Mohit Bajaj",1000000.0
Earthful,Plant-Based Nutrition - D2C Wellness,Hyderabad,Rs 5 crore ($600K),Seed Round,Srinivasan Namala,60000000.0
Pickkup,Logistics - Hyperlocal Deliveries,Gurugram,$500K,Seed Round,"We Founder Circle (WFC), Angel Investors",500000.0
Make in Box,Deeptech - Engineering Solutions,Gurugram,$260K,Pre-Series Funding,"Mile Deep Works, Mile Deep Capital",260000.0
Make in Box,Deeptech - Engineering Solutions,Gurugram,$260K,Pre-Series Funding,"Mile Deep Works, Mile Deep Capital",260000.0
Lightstorm,Cloud & Data Centre Networking,Gurugram,Rs 700 crore ($80.5M),Funding Round,NIIF Infrastructure Finance Limited (NIIF IFL),8400000000.0
Udaan,B2B E-commerce,Bengaluru,$75 million,Series G,Series G Equity Funding,75000000.0
Waterfield Advisors,Wealth Advisory - Fintech,Mumbai,$18 million,Funding Round,Jungle Ventures (Primary & Secondary Investment),18000000.0
Spyne,AI-Powered Visual Merchandising - AutoTech,Gurugram,$16 million,Series A,"Vertex Ventures, Accel, Storm Ventures, Alteria Capital",16000000.0
The Whole Truth,Clean Label Health Food - D2C,Mumbai,$15 million,Series C,"Sofina, Z47, Peak XV Partners, Sauce.VC",15000000.0
Singulr AI,Enterprise AI Solutions,Bengaluru,$10 million,Seed Round,"Nexus Venture Partners, Dell Technologies Capital",10000000.0
Dogsee Chew,D2C Pet Treats,Bengaluru,$8 million,Series B,"Ektha.com, Shivanssh Holdings, Poddar Family Office",8000000.0
Rare Rabbit,Omnichannel Fashion Retailer,Bengaluru,Rs 50 crore ($6M),Growth Funding,A91 Partners,600000000.0
Ikonz Studios,Digital Avatars & Holography - AI/VR,Hyderabad,$5 million,Pre-Series A,"Marc Jordan, Ramana Thummu, Madhusudan Kela, Akash Bhanshali",5000000.0
Probus Smart Things,IoT & Data Analytics,Noida,$5 million,Series A1,"Unicorn India Ventures, US-based & Indian Family Offices",5000000.0
Swish Club,Devices-as-a-Service - DaaS,Bengaluru,$4.5 million,Pre-Series A,"Powerhouse Ventures, Blume Ventures, Founders Fund, Touchstone Ventures, Eternal Capital, Atrium Ventures",4500000.0
OneTab AI,Workplace SaaS - AI Solutions,Indore,$3.3 million (Rs 28.6Cr),Seed Round,"LIT Fund, Orbit, Singapore Family Office, SOSV, Sunil Kumar Singhvi, Founders",
Almonds Ai,Loyalty & Rewards Platform - SaaS,Gurugram,Rs 16 crore ($1.9M),Seed Round,"Promoters of Haldiram’s, JITO Incubation & Innovation Foundation (JIIF), Venture Catalysts, Ever Grow Capital, Nine ALPS",192000000.0
NOTO Ice Cream,D2C - Health Foods,Mumbai,Rs 15 crore ($1.75M),Growth Funding,"Inflection Point Ventures (IPV), JITO Incubation & Innovation Foundation, LetsVenture",180000000.0
Dynolt Technologies,Deeptech - AI & Analytics,Bengaluru,$1.7 million,Seed Round,"Transition VC, Yashowardhan Shah",1700000.0
You Care Lifestyle,Independent Verification - E-commerce,Mumbai,$1 million,Funding Round,"Luke Coutinho, Narendra Firodia",1000000.0
Healthfab,D2C - Reusable Period Panties,Bengaluru,$1 million,Pre-Series A,"Mistry Ventures, BeyondSeed, Thrive Ventures, Anupam Mittal, Aman Gupta, Vineeta Singh, Peyush Bansal",1000000.0
BYTES,AI-Powered ADAS for Two-Wheelers - MobilityTech,Pune,₹20 lakh (Non-Dilutive),Grant,Nikhil Kamath’s WTFund (2024 Cohort),
BYTES,AI-Powered ADAS for Two-Wheelers - MobilityTech,Pune,₹20 lakh (Non-Dilutive),Grant,Nikhil Kamath’s WTFund (2024 Cohort),
EnCharge AI,AI Chips - Semiconductor,California,$100 million+,Series B,Tiger Global,100000000.0
ToneTag,Digital Payments - Fintech,Bengaluru,$78 million,Funding Round,"ValueQuest Scale Fund, Iron Pillar",78000000.0
SpotDraft,Contract Lifecycle Management - CLM SaaS,Bengaluru,$54 million,Series B,"Vertex Growth Singapore, Trident Partners, Xeed VC, Arkam Ventures, Prosus Ventures, Premji Invest",54000000.0
Zeta,Banking Tech - Fintech SaaS,Hyderabad,$50 million,Investment Round (Valued at $2B),Strategic Investor,50000000.0
75F,Commercial HVAC Automation - IoT & AI,Bengaluru,$45 million,Series B,"Accurant International's Net Zero Alliance, Carrier Global Corporation, Climate Investment, Breakthrough Energy Ventures, Next47, WIND Ventures",45000000.0
Rapido,Mobility - Bike Taxi Services,Bengaluru,Rs 250 crore ($29.7M),Series E,Prosus,3000000000.0
JQR,Affordable Footwear - D2C,Bahadurgarh,$25 million,VC Funding (First Institutional),Venturi Partners,25000000.0
Lucidity,Multi-Cloud Storage - SaaS,Bengaluru,$21 million,Series A,"WestBridge Capital, Alpha Wave",21000000.0
The Whole Truth,D2C Protein Bars - Foodtech,Mumbai,Rs 133 crore ($16M),Series C,"Sofina Ventures, Peak XV Partners, Matrix Partners, Sauce.vc",1596000000.0
Nirmata,SaaS - Cloud Security,Bengaluru,$9.6 million,Funding Round,"Peak XV’s Surge, Dallas Venture Capital, Dreamit, Z5 Capital, Uncorrelated Ventures",9600000.0
BorderPlus,Global Workforce Mobility,Mumbai,$7 million,Institutional Investment Round,Owl Ventures,7000000.0
Bold Care,D2C Sexual Wellness - Healthtech,Mumbai,$5 million (Rs 43 Cr),Series A,"Zerodha’s Rainmatter, Mithun Sacheti (CaratLane), Siddhartha Sacheti (Jaipur Diamond), Gruhas Collective Consumer Fund, Claris Capital",
CapGrid Solutions,B2B Manufacturing - Supply Chain SaaS,Gurugram,$5 million,Funding Round,"Anicut Growth Fund, Nexus Venture Partners, Axilor Ventures",5000000.0
Nivaan Care,Chronic Pain Management - Healthtech,Delhi,$4.25 million,Seed Round,"Endiya Partners, W Health Ventures",4250000.0
Toonsutra,Webtoon & Comics - MediaTech,Bengaluru,$3.2 million,Seed Round,"Holtzbrinck Publishing Group, GMJP, T-Accelerate, Google, Graphic India",3200000.0
Mysa,Unified Finance - Fintech SaaS,Bengaluru,$2.8 million,Seed Round,"Blume Ventures, EMVC, Antler, Neon Fund, CIIIE, Sriharsha Majety (Swiggy), Mohit Kumar (Ultrahuman), Naiyaa Saagi (MyGlamm), Nitin Gupta (Uni)",2800000.0
Eduvanz,Education Loan - Fintech,Mumbai,Rs 25.52 crore,Bridge Funding Round,"Juvo Ventures, Capria Fund, Peak XV, Unitus Ventures",306240000.0
ArthAlpha,Investment Tech - Wealthtech,Bengaluru,$2 million+,Seed Round,"DSP, Family Offices, Wealth Managers",2000000.0
Anscer Robotics,Deeptech - Robotics,Bengaluru,$2 million,Seed Round,Info Edge Ventures,2000000.0
The Energy Company,EV Battery Solutions,Bengaluru,$2 million,Pre-Series A,"Siana Capital, Callapina Capital, Z21 Ventures, 1Crowd, LetsVenture, other investors",2000000.0
Future AGI,AI Infrastructure,Bengaluru,$1.6 million,Pre-Seed Round,"Powerhouse Ventures, Snow Leopard Ventures, AngelList Quant Fund, Saka Ventures, Swadharma Source Ventures, 30+ industry stalwarts",1600000.0
Cogniquest,Intelligent Document Processing - SaaS AI,Bengaluru,$1.2 million,Seed Round,"Cedar IBSI Capital, Dexter Venture, AngelList, Congniphy US",1200000.0
Raincheck Earth Co.,Alcoholic Beverage - D2C,Delhi,$1.2 million,Pre-Series A,"Japanese Investors, AngelList India Syndicate",1200000.0
Rupeeflo,Fintech - Lending Platform,Bengaluru,$1 million,Pre-Seed Round,Piper Serica Angel Fund,1000000.0
GoRally,Pickleball Chain - Sports,Bengaluru,Rs 6.6 crore ($750K),Pre-Seed Round,"Sujeet Kumar, Mohit Kumar, Vatsal Singhal, Viren Singhvi, Kartik Kapoor, Abhishek Goyal, Deepak Singh, Arjun Vaidya, Bharat Founders Fund",79200000.0
StepOut,Sports Tech - Performance Analysis,Bengaluru,"$500,000",Seed Round,"Rainmatter (Nithin Kamath), IndigoEdge, Marwah Sports Group, Misfits Capital",500000.0
LegUp,Caregiving Tech - Family & Wellness,Washington,Rs 2 crore ($250K),Pre-Seed Round,Bluebridge Capital Private Limited,24000000.0
Croft Beverages,Sustainable Tea - AgriTech D2C,Coimbatore,$125K,Pre-Seed Round,"Angel Investors from tea, sustainability, IT, biotech sectors",125000.0
Croft Beverages,Sustainable Tea - AgriTech D2C,Coimbatore,$125K,Pre-Seed Round,"Angel Investors from tea, sustainability, IT, biotech sectors",125000.0
Myntra,E-commerce - Fashion,Bengaluru,$81 million,Capital Infusion,Flipkart (Parent Company),81000000.0
Captain Fresh,Seafood Supply Chain,Bengaluru,Rs 250 crore ($30 million),Pre-IPO Funding Round,"Prosus Ventures, Accel, Tiger Global, family office of Sriharsha Majety (Swiggy), Sid Khanna, Sunjay Kapur, Shivalik Prints",3000000000.0
TrueFoundry,AI Deployment & Scaling,Bengaluru,$19 million,Series A,"Intel Capital, Eniac Ventures, Peak XV’s Surge, Jump Capital, Gokul Rajaram, Mohit Aron, Cyan Banister, Fortune 1000 executives",19000000.0
Cognida.ai,Enterprise AI Solutions,Hyderabad,$15 million,Series A,Nexus Venture Partners,15000000.0
HairOriginals,D2C Hair Extensions & Wigs,Gurugram,Rs 43.5 crore ($5 million),Series A,"Anicut Growth Fund, 12 Flags Consumer Holdings, Peyush Bansal (Lenskart)",522000000.0
Nua,Women’s Wellness & Hygiene,Mumbai,Rs 35 crore,Pre-Series C,"Mirabilis Investment Trust, Samir Singh (Colgate Palmolive), Shuchi Kothari (DSP Family Office)",420000000.0
Scentials,D2C Wellness,Mumbai,Rs 34.6 crore ($4 million),Debt & Equity,"Indus Way Emerging Market Fund, TIW Private Equity",415200000.0
Dreamfly Innovations,Battery Tech,Bengaluru,Rs 12 crore,Seed Round,"Avaana Capital, Sunicon Ventures",144000000.0
Mealawe,Foodtech,Pune,$1 million,Funding Round,"Shark Tank founders, FDI, angel investors from Goldman Sachs, Oracle",1000000.0
Fitspire,Health & Nutrition,Delhi,$1 million,Bridge Round (Pre-Series A),"McDonald's India (North & East) Promoter Anant Agarwal, MM Agrawal Group (MMG), AKG financials",1000000.0
Quicklend,Secured Lending,Bengaluru,Rs 6.75 crore ($774K),Pre-Seed Round,"Inuka Capital, Eximius Ventures, Upsparks Capital, GrowX, strategic angel investors",81000000.0
Babynama,Digital Pediatric Care,New Delhi,"$700,000",Seed Round,"Good Capital, Amplify, Abhishek Gupta (Fashinza), Ankit Gupta (Bicycle Health), Akshay Saxena (Avanti), Dhruv Dhanraj Bahl (Ex-BharatPe)",700000.0
