Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Amount_USD
EF Polymer,Chemicals and Materials > Polymers,Rajasthan,Undisclosed,Series B,Toyoda Gosei / Beyond Next Ventures,
RUGR,FinTech > Banking Tech,Karnataka,$5M,Seed,Vikasa India EIF Fund,5000000.0
IGowise,Energy Tech > Electric Vehicles,Karnataka,-,-,-,
IGowise,Energy Tech > Electric Vehicles,Karnataka,-,-,-,
PharmEasy,Health Tech,Mumbai,$191.7 Mn,Debt,-,191700000.0
Emergent,AI,Gurugram,$23 Mn,Series A,Lightspeed Ventures,23000000.0
Chakr Innovation,Clean Tech,Gurugram,$23 Mn,Series C,Iron Pillar,23000000.0
Curefoods,Foodtech,Bengaluru,$18 Mn,–,3State Ventures,18000000.0
Handpickd,Consumer Services,Gurugram,$15 Mn,Series A,Bertelsmann India Investments,15000000.0
Rocket,AI,Bengaluru,$15 Mn,Seed,"Salesforce Ventures, Accel",15000000.0
Vedantu,Edtech,Bengaluru,$11 Mn,–,-,11000000.0
Simple Energy,Clean Tech,Bengaluru,$10 Mn,–,"Dr Arokiaswamy Velumani (founder, Thyrocare)",10000000.0
KisanKonnect,Agritech,Ahmednagar,$8.1 Mn,Pre-Series A,Bajaj Finserv Group,8100000.0
Distil,Ecommerce,Mumbai,$7.7 Mn,Series A,"Jungle Ventures, CE-Ventures",7700000.0
Gullak,Fintech,Bengaluru,$7.5 Mn,Series A,Chiratae Ventures,7500000.0
Oolka,Fintech,Bengaluru,$7 Mn,Seed,"Lightspeed India, Z47",7000000.0
PRISM,Travel Tech,Mumbai,$5.6 Mn,–,"InCred, Analah Capital",5600000.0
OnFinance,AI,Bengaluru,$4.2 Mn,Pre-Series A,Peak XV (Surge),4200000.0
Amwoodo,Ecommerce,Kolkata,$4 Mn,Pre-Series A,Rainmatter,4000000.0
Cosmoserve Space,Advanced Hardware & Technology,Hyderabad,$3.2 Mn,Pre-Seed,AVCF,3200000.0
P-TAL,Ecommerce,New Delhi,$3 Mn,Series A,"Venture Catalysts, Rainmatter",3000000.0
Xbattery,Clean Tech,Hyderabad,$2.3 Mn,Seed,Bipin Patel Family Office,2300000.0
Grest,Ecommerce,Cuttack,$1.8 Mn,–,Equentis,1800000.0
VyomIC,Advanced Hardware & Technology,Bengaluru,$1.6 Mn,Pre-Seed,Speciale Invest,1600000.0
Akashalabdhi,Advanced Hardware & Technology,Roorkee,$1.2 Mn,Pre-Seed,-,1200000.0
Navo,Ecommerce,Gurugram,$902K,Seed,IndiaQuotient,902000.0
Bharat Intelligence,Agritech,Mumbai,$790K,Pre-Seed,Sahyadri Farms,790000.0
Recove,Clean Tech,Bengaluru,$598K,–,Momentum Capital,598000.0
Paar Autonomy,Advanced Hardware & Technology,Bengaluru,$500K,Seed,Venture Catalysts,500000.0
Samaaro,Enterprise Tech,Bengaluru,$500K,Pre-Series A,Inflection Point Ventures,500000.0
Gaadimech,Consumer Services,Jaipur,$169K,–,AJVC,169000.0
Gabit,Ecommerce,Gurugram,-,-,-,
Gabit,Ecommerce,Gurugram,-,-,-,
Infra.Market,Real Estate Tech,Thane,$83 Mn,Series G,-,83000000.0
EvoluteIQ,Enterprise Tech,Bengaluru,$53 Mn,–,Baird Capital,53000000.0
FinBox,Fintech,Bengaluru,$40 Mn,Series B,WestBridge Capital,40000000.0
Blue Energy Motors,Clean Tech,Pune,$30 Mn,-,"Nikhil Kamath, Omnitex Industries",30000000.0
InCred Money,Fintech,Mumbai,$30 Mn,–,-,30000000.0
EcoSoul,Ecommerce,Noida,$20 Mn,Series B,"Accel, Bajaj Financial Securities",20000000.0
Indkal,Ecommerce,Bengaluru,$20 Mn,–,-,20000000.0
Scalekit,AI,Bengaluru,$5.5 Mn,Seed,"Together Fund, Z47",5500000.0
Lucira,Ecommerce,Mumbai,$5.5 Mn,Seed,Blume Ventures,5500000.0
SpaceFields,Advanced Hardware & Technology,Bengaluru,$5 Mn,Pre-Series A,Globaz Technologies,5000000.0
Pelocal,Fintech,Chennai,$5 Mn,Series A,"UNLEASH Capital Partners, Unicorn India Ventures",5000000.0
iDO Devices,Ecommerce,Noida,$4 Mn,–,"Blume Ventures, Merak Ventures",4000000.0
Pascal AI Labs,AI,Bengaluru,$3.1 Mn,Seed,Kalaari Capital,3100000.0
Equilibrium,Clean Tech,Noida,$3 Mn,Seed,-,3000000.0
INCLUD,Ecommerce,Gurugram,$2.9 Mn,Pre-Series A,3one4 Capital,2900000.0
Blinkit-AI,AI,Gurugram,$1.2 Mn,Seed,Foliflex Cables,1200000.0
Supply6,Ecommerce,Bengaluru,$1.1 Mn,Seed,Zeropearl VC,1100000.0
UGX.ai,AI,Gurugram,$1 Mn,Seed,Blue Ocean Venture Partners,1000000.0
PlaySuper,Media & Entertainment,Gurugram,$1 Mn,Seed,Chimera,1000000.0
Wankel Energy Systems,Clean Tech,Chennai,$1 Mn,Pre-Seed,Shastra VC,1000000.0
MyNaksh,Consumer Services,Bengaluru,$852K,Pre-Seed,Eximius Ventures,852000.0
uKnowva,Enterprise Tech,Mumbai,$500K,Pre-Series A,-,500000.0
Raptee.HV,Clean Tech,Chennai,-,-,Technology Development Board (Ministry of Science & Technology),
